Jumlah Kamar Tidur,Jumlah Kamar Mandi,Luas Bangunan,Luas Tanah, Harga
7,4,300,270,Rp 1.500.000.000
2,1,36,98,Rp 355.500.000
3,2,200,300,Rp 800.000.000
2,1,40,175,Rp 800.000.000
2,1,62,97.5,Rp 475.000.000
2,1,55,84,Rp 300.000.000
2,2,1000,900,Rp 16.000.000.000
2,2,225,300,Rp 5.600.000.000
3,2,100,325,Rp 1.300.000.000
3,3,250,307,Rp 2.500.000.000
6,6,500,550,Rp 6.000.000.000
3,4,220,146,Rp 2.400.000.000
2,1,200,400,Rp 600.000.000
2,3,129,130,Rp 1.500.000.000
2,1,28,72,Rp 168.000.000
2,2,160,204,Rp 1.500.000.000
2,2,100,200,Rp 550.000.000
4,4,185,402,Rp 1.500.000.000
2,1,50,103,Rp 550.000.000
4,4,340,2300,Rp 9.750.000.000
2,1,36,110,Rp 250.000.000
2,3,126.3,700,Rp 4.200.000.000
3,2,180,360,Rp 2.400.000.000
4,3,100,420,Rp 1.800.000.000
4,2,400,431,Rp 6.500.000.000
2,2,113.54,243,Rp 3.450.000.000
2,1,48,83,Rp 322.000.000
2,3,147.88,237,Rp 4.500.000.000
7,7,690,2990,Rp 27.000.000.000
2,2,125,800,Rp 3.000.000.000
4,4,500,3100,Rp 4.500.000.000
22,22,350,400,Rp 2.300.000.000
2,1,70,90,Rp 200.000.000
2,1,75,109,Rp 675.000.000
7,7,300,400,Rp 4.500.000.000
1,1,70,130,Rp 550.000.000
3,2,250,150,Rp 850.000.000
4,6,600,1400,Rp 4.500.000.000
3,3,272.04,420,Rp 5.625.000.000
3,2,125,155,Rp 700.000.000
1,1,300,1500,Rp 2.000.000.000
2,1,36,90,Rp 302.500.000
2,1,30,55,Rp 617.500.000
3,3,150,300,Rp 2.500.000.000
3,2,250,266,Rp 600.000.000
4,3,305,725,Rp 4.500.000.000
2,1,79,100,Rp 300.000.000
3,2,100,120,Rp 250.000.000
2,1,30,72,Rp 158.000.000
10,8,391,391,Rp 800.000.000
4,3,500,1200,Rp 2.500.000.000
4,4,180,467,Rp 1.700.000.000
5,4,300,1000,Rp 4.500.000.000
3,2,100,150,Rp 850.000.000
2,1,119,119,Rp 200.000.000
2,3,100,120,Rp 1.300.000.000
2,2,90,105,Rp 750.000.000
1,1,102,500,Rp 950.000.000
3,2,130,149,Rp 950.000.000
2,3,400,1600,Rp 2.700.000.000
3,2,150,200,Rp 625.000.000
2,1,47,130,Rp 500.000.000
3,2,300,450,Rp 5.500.000.000
2,1,100,80,Rp 380.000.000
3,1,93,93,Rp 165.000.000
5,2,300,410,Rp 1.000.000.000
10,9,225,434,Rp 1.400.000.000
3,1,135,261,Rp 600.000.000
5,3,400,430,Rp 6.000.000.000
2,1,30,88,Rp 275.000.000
5,4,300,650,Rp 3.500.000.000
3,3,150,378,Rp 1.500.000.000
3,3,210,800,Rp 3.000.000.000
2,2,250,500,Rp 2.500.000.000
2,2,154,154,Rp 800.000.000
3,2,55,185,Rp 1.450.000.000
3,2,124,294,Rp 850.000.000
3,1,60,120,Rp 690.000.000
4,4,90,154,Rp 2.500.000.000
5,5,150,1000,Rp 5.000.000.000
4,2,125,150,Rp 1.000.000.000
2,1,82,106,Rp 650.000.000
5,4,500,1000,Rp 14.000.000.000
4,2,200,468,Rp 1.850.000.000
3,2,90,127,Rp 650.000.000
5,3,500,600,Rp 2.500.000.000
3,2,60,110,Rp 300.000.000
3,3,148,157,Rp 700.000.000
2,2,125,800,Rp 2.700.000.000
2,2,100,300,Rp 1.900.000.000
3,2,200,413,Rp 800.000.000
12,11,600,763,Rp 2.900.000.000
5,3,300,300,Rp 1.200.000.000
2,2,40,104,Rp 700.000.000
3,3,300,700,Rp 4.500.000.000
4,2,176,400,Rp 450.000.000
2,1,46,90,Rp 525.000.000
4,3,275,300,Rp 700.000.000
2,1,45,88,Rp 275.000.000
6,6,800,4000,Rp 12.000.000.000
13,13,300,550,Rp 2.500.000.000
2,1,36,100,Rp 270.000.000
16,16,400,623,Rp 2.250.000.000
3,2,75,100,Rp 450.000.000
11,4,150,900,Rp 2.250.000.000
3,3,200,477,Rp 1.500.000.000
2,2,280,330,Rp 3.500.000.000
2,2,600,1500,Rp 2.000.000.000
3,3,150,256,Rp 1.300.000.000
3,5,200,425,Rp 2.200.000.000
2,1,90,118,Rp 460.000.000
3,2,120,120,Rp 550.000.000
3,1,45,100,Rp 350.000.000
3,3,250,3150,Rp 3.500.000.000
4,2,70,120,Rp 725.000.000
7,7,1680,2990,Rp 23.650.000.000
2,1,36,90,Rp 270.000.000
3,3,150,187,Rp 1.800.000.000
10,10,250,578,Rp 4.000.000.000
2,2,54,216,Rp 350.000.000
2,1,75,84,Rp 190.000.000
2,1,80,144,Rp 550.000.000
2,3,156,156,Rp 3.559.600.000
2,1,50,112,Rp 280.000.000
3,2,400,800,Rp 3.500.000.000
5,3,198,191,Rp 1.100.000.000
4,4,500,855,Rp 3.600.000.000
3,2,170,215,Rp 250.000.000
3,2,100,138,Rp 650.000.000
4,4,180,460,Rp 1.800.000.000
2,2,168,216,Rp 1.500.000.000
3,4,380,149,Rp 879.000.000
3,3,180,467,Rp 1.700.000.000
